Away_Team,Home_Team,Date,Ref_Crew,Accepted_Count,Yards,Away_Count,Away_Yards,Home_Count,Home_Yards,Total_Flags,Week,Year
Tampa Bay,Carolina,11/18/2012,Bill Leavy,17,141,6,50,11,91,18,11,2012
Cleveland,Dallas,11/18/2012,Ed Hochuli,21,221,12,129,9,92,21,11,2012
N.Y. Jets,St. Louis,11/18/2012,Jerome Boger,8,50,3,20,5,30,10,11,2012
Indianapolis,New England,11/18/2012,John Parry,5,75,1,5,4,70,9,11,2012
Jacksonville,Houston,11/18/2012,Clete Blakeman,8,74,6,54,2,20,10,11,2012
Cincinnati,Kansas City,11/18/2012,Gene Steratore,14,84,9,54,5,30,15,11,2012
New Orleans,Oakland,11/18/2012,Pete Morelli,11,114,7,74,4,40,11,11,2012
San Diego,Denver,11/18/2012,Carl Cheffers,14,95,10,65,4,30,14,11,2012
Baltimore,Pittsburgh,11/18/2012,Walt Anderson,10,111,4,68,6,43,11,11,2012
Chicago,San Francisco,11/19/2012,Tony Corrente,11,105,6,55,5,50,11,11,2012
Houston,Detroit,11/22/2012,Walt Coleman,15,135,8,65,7,70,15,12,2012
Washington,Dallas,11/22/2012,Bill Leavy,12,86,5,41,7,45,14,12,2012
New England,N.Y. Jets,11/22/2012,Mike Carey,13,71,8,36,5,35,13,12,2012
Oakland,Cincinnati,11/25/2012,Al Riveron,6,50,3,25,3,25,7,12,2012
Pittsburgh,Cleveland,11/25/2012,Ron Winter,19,158,9,68,10,90,20,12,2012
Buffalo,Indianapolis,11/25/2012,Ed Hochuli,10,83,4,46,6,37,12,12,2012
Tennessee,Jacksonville,11/25/2012,Walt Anderson,11,72,6,42,5,30,12,12,2012
Denver,Kansas City,11/25/2012,Jerome Boger,11,85,4,35,7,50,13,12,2012
Minnesota,Chicago,11/25/2012,Scott Green,8,99,3,44,5,55,8,12,2012
Atlanta,Tampa Bay,11/25/2012,Jeff Triplette,7,39,2,15,5,24,9,12,2012
Seattle,Miami,11/25/2012,Clete Blakeman,12,74,10,59,2,15,13,12,2012
Baltimore,San Diego,11/25/2012,Gene Steratore,11,97,6,60,5,37,13,12,2012
San Francisco,New Orleans,11/25/2012,John Parry,14,121,10,68,4,53,16,12,2012
St. Louis,Arizona,11/25/2012,Tony Corrente,17,140,10,84,7,56,20,12,2012
Green Bay,N.Y. Giants,11/25/2012,Terry McAulay,11,73,7,49,4,24,14,12,2012
Carolina,Philadelphia,11/26/2012,Pete Morelli,11,131,6,101,5,30,15,12,2012
New Orleans,Atlanta,11/29/2012,Scott Green,10,55,5,30,5,25,10,13,2012
Seattle,Chicago,12/02/2012,Mike Carey,13,100,8,55,5,45,14,13,2012
Minnesota,Green Bay,12/02/2012,Ed Hochuli,15,126,5,48,10,78,20,13,2012
San Francisco,St. Louis,12/02/2012,Carl Cheffers,18,157,11,97,7,60,20,13,2012
Arizona,N.Y. Jets,12/02/2012,Walt Anderson,7,50,4,30,3,20,8,13,2012
Carolina,Kansas City,12/02/2012,John Parry,8,50,7,45,1,5,8,13,2012
Indianapolis,Detroit,12/02/2012,Bill Vinovich,12,97,4,36,8,61,15,13,2012
Jacksonville,Buffalo,12/02/2012,Pete Morelli,17,174,8,74,9,100,18,13,2012
New England,Miami,12/02/2012,Ron Winter,14,142,6,50,8,92,15,13,2012
Houston,Tennessee,12/02/2012,Tony Corrente,15,132,11,97,4,35,18,13,2012
Tampa Bay,Denver,12/02/2012,Terry McAulay,19,155,11,80,8,75,20,13,2012
Pittsburgh,Baltimore,12/02/2012,Al Riveron,12,120,4,50,8,70,12,13,2012
Cleveland,Oakland,12/02/2012,Bill Leavy,12,90,2,25,10,65,12,13,2012
Cincinnati,San Diego,12/02/2012,Walt Coleman,16,110,8,55,8,55,18,13,2012
Philadelphia,Dallas,12/02/2012,Jeff Triplette,8,65,1,5,7,60,11,13,2012
N.Y. Giants,Washington,12/03/2012,Jerome Boger,13,129,9,73,4,56,16,13,2012
Denver,Oakland,12/06/2012,Clete Blakeman,14,119,3,25,11,94,17,14,2012
Baltimore,Washington,12/09/2012,John Parry,16,126,8,56,8,70,16,14,2012
Kansas City,Cleveland,12/09/2012,Walt Anderson,12,90,5,35,7,55,12,14,2012
San Diego,Pittsburgh,12/09/2012,Scott Green,14,103,6,51,8,52,15,14,2012
Tennessee,Indianapolis,12/09/2012,Pete Morelli,15,113,9,70,6,43,17,14,2012
N.Y. Jets,Jacksonville,12/09/2012,Al Riveron,8,69,1,15,7,54,8,14,2012
Chicago,Minnesota,12/09/2012,Walt Coleman,17,134,10,80,7,54,21,14,2012
Atlanta,Carolina,12/09/2012,Ed Hochuli,6,25,3,15,3,10,6,14,2012
Philadelphia,Tampa Bay,12/09/2012,Ron Winter,10,73,2,13,8,60,14,14,2012
St. Louis,Buffalo,12/09/2012,Gene Steratore,4,32,2,17,2,15,6,14,2012
Dallas,Cincinnati,12/09/2012,Bill Vinovich,14,119,6,49,8,70,16,14,2012
Miami,San Francisco,12/09/2012,Mike Carey,11,88,5,43,6,45,12,14,2012
New Orleans,N.Y. Giants,12/09/2012,Jeff Triplette,16,136,10,81,6,55,19,14,2012
Arizona,Seattle,12/09/2012,Carl Cheffers,19,176,9,79,10,97,22,14,2012
Detroit,Green Bay,12/09/2012,Tony Corrente,12,105,5,55,7,50,13,14,2012
Houston,New England,12/10/2012,Terry McAulay,13,126,7,70,6,56,17,14,2012
Cincinnati,Philadelphia,12/13/2012,Carl Cheffers,20,170,11,94,9,76,25,15,2012
Green Bay,Chicago,12/16/2012,Walt Anderson,18,195,8,104,10,91,22,15,2012
N.Y. Giants,Atlanta,12/16/2012,Bill Leavy,5,55,2,25,3,30,10,15,2012
Tampa Bay,New Orleans,12/16/2012,Mike Carey,13,139,7,84,6,55,14,15,2012
Minnesota,St. Louis,12/16/2012,Al Riveron,11,96,3,49,8,47,15,15,2012
Washington,Cleveland,12/16/2012,Bill Vinovich,11,75,6,45,5,30,12,15,2012
Jacksonville,Miami,12/16/2012,John Parry,15,129,10,88,5,41,17,15,2012
Denver,Baltimore,12/16/2012,Pete Morelli,13,112,7,51,6,61,13,15,2012
Indianapolis,Houston,12/16/2012,Jeff Triplette,17,148,8,79,9,69,24,15,2012
Detroit,Arizona,12/16/2012,Jerome Boger,13,113,7,63,6,50,15,15,2012
Carolina,San Diego,12/16/2012,Terry McAulay,15,118,6,48,9,70,17,15,2012
Seattle,Buffalo,12/16/2012,Scott Green,8,52,4,32,4,20,9,15,2012
Pittsburgh,Dallas,12/16/2012,Clete Blakeman,8,61,0,0,8,61,8,15,2012
Kansas City,Oakland,12/16/2012,Tony Corrente,12,122,7,60,5,62,14,15,2012
San Francisco,New England,12/16/2012,Ed Hochuli,14,161,6,88,8,73,16,15,2012
N.Y. Jets,Tennessee,12/17/2012,Walt Coleman,18,134,4,23,14,111,20,15,2012
Atlanta,Detroit,12/22/2012,Gene Steratore,5,40,3,20,2,20,9,16,2012
Tennessee,Green Bay,12/23/2012,Clete Blakeman,6,45,5,35,1,10,10,16,2012
Oakland,Carolina,12/23/2012,Jerome Boger,16,167,6,70,10,97,22,16,2012
Buffalo,Miami,12/23/2012,Walt Anderson,14,118,11,93,3,25,14,16,2012
Cincinnati,Pittsburgh,12/23/2012,Mike Carey,12,118,7,55,5,63,14,16,2012
New England,Jacksonville,12/23/2012,Jeff Triplette,9,86,4,39,5,47,11,16,2012
Indianapolis,Kansas City,12/23/2012,Ron Winter,13,123,4,48,9,75,13,16,2012
New Orleans,Dallas,12/23/2012,Walt Coleman,11,74,6,42,5,32,14,16,2012
Washington,Philadelphia,12/23/2012,Ed Hochuli,7,54,3,24,4,30,10,16,2012
St. Louis,Tampa Bay,12/23/2012,Scott Green,10,69,9,64,1,5,10,16,2012
N.Y. Giants,Baltimore,12/23/2012,Carl Cheffers,15,144,6,52,9,92,16,16,2012
Minnesota,Houston,12/23/2012,John Parry,14,112,5,52,9,60,15,16,2012
Cleveland,Denver,12/23/2012,Al Riveron,21,153,10,69,11,84,26,16,2012
Chicago,Arizona,12/23/2012,Terry McAulay,6,37,2,12,4,25,8,16,2012
San Francisco,Seattle,12/23/2012,Bill Vinovich,10,103,6,58,4,45,12,16,2012
San Diego,N.Y. Jets,12/23/2012,Pete Morelli,11,93,5,53,6,40,11,16,2012
N.Y. Jets,Buffalo,12/30/2012,Terry McAulay,8,69,4,45,4,24,11,17,2012
Miami,New England,12/30/2012,Jerome Boger,9,71,3,23,6,48,9,17,2012
Baltimore,Cincinnati,12/30/2012,Ron Winter,14,142,10,102,4,40,14,17,2012
Cleveland,Pittsburgh,12/30/2012,Walt Coleman,12,137,9,79,3,58,13,17,2012
Houston,Indianapolis,12/30/2012,Clete Blakeman,12,88,9,64,3,24,15,17,2012
Jacksonville,Tennessee,12/30/2012,Bill Vinovich,12,78,7,35,5,43,15,17,2012
Philadelphia,N.Y. Giants,12/30/2012,Tony Corrente,7,57,6,52,1,5,10,17,2012
Dallas,Washington,12/30/2012,Walt Anderson,3,26,1,6,2,20,5,17,2012
Chicago,Detroit,12/30/2012,Bill Leavy,7,64,3,35,4,29,8,17,2012
Green Bay,Minnesota,12/30/2012,Mike Carey,17,141,7,43,10,98,18,17,2012
Tampa Bay,Atlanta,12/30/2012,Carl Cheffers,4,30,2,15,2,15,6,17,2012
Carolina,New Orleans,12/30/2012,Al Riveron,9,91,4,36,5,55,13,17,2012
Kansas City,Denver,12/30/2012,Ed Hochuli,10,62,5,32,5,30,11,17,2012
Oakland,San Diego,12/30/2012,John Parry,17,127,9,67,8,60,19,17,2012
Arizona,San Francisco,12/30/2012,Pete Morelli,8,59,5,34,3,25,8,17,2012
St. Louis,Seattle,12/30/2012,Jeff Triplette,24,178,14,98,10,80,28,17,2012
Baltimore,Denver,09/05/2013,Walt Coleman,15,114,7,53,8,61,21,1,2013
New England,Buffalo,09/08/2013,Walt Anderson,14,111,4,36,10,75,17,1,2013
Seattle,Carolina,09/08/2013,Jeff Triplette,13,155,9,109,4,46,15,1,2013
Cincinnati,Chicago,09/08/2013,Carl Cheffers,12,143,8,84,4,59,12,1,2013
Miami,Cleveland,09/08/2013,Mike Carey,19,134,10,77,9,57,20,1,2013
Minnesota,Detroit,09/08/2013,John Parry,16,140,5,52,11,88,17,1,2013
Oakland,Indianapolis,09/08/2013,Bill Vinovich,11,82,8,51,3,31,13,1,2013
Kansas City,Jacksonville,09/08/2013,Pete Morelli,8,50,3,20,5,30,8,1,2013
Tampa Bay,N.Y. Jets,09/08/2013,Ed Hochuli,19,147,13,102,6,45,22,1,2013
Atlanta,New Orleans,09/08/2013,Gene Steratore,8,76,2,19,6,57,8,1,2013
Tennessee,Pittsburgh,09/08/2013,Jerome Boger,10,107,6,60,4,47,11,1,2013
Arizona,St. Louis,09/08/2013,Clete Blakeman,13,127,6,68,7,59,15,1,2013
Green Bay,San Francisco,09/08/2013,Bill Leavy,16,129,5,44,11,85,17,1,2013
N.Y. Giants,Dallas,09/08/2013,Tony Corrente,11,92,6,52,5,40,13,1,2013
Philadelphia,Washington,09/09/2013,Ron Winter,18,140,8,65,10,75,23,1,2013
Houston,San Diego,09/09/2013,Scott Green,14,128,7,73,7,55,16,1,2013
N.Y. Jets,New England,09/12/2013,Carl Cheffers,11,96,8,66,3,30,13,2,2013
St. Louis,Atlanta,09/15/2013,Scott Green,14,106,7,53,7,53,14,2,2013
Cleveland,Baltimore,09/15/2013,Bill Vinovich,8,74,5,33,3,41,9,2,2013
Carolina,Buffalo,09/15/2013,Walt Coleman,10,85,3,30,7,55,11,2,2013
Minnesota,Chicago,09/15/2013,Ed Hochuli,7,60,3,25,4,35,9,2,2013
Washington,Green Bay,09/15/2013,Tony Corrente,11,118,7,78,4,40,14,2,2013
Tennessee,Houston,09/15/2013,Jeff Triplette,14,110,9,70,5,40,16,2,2013
Miami,Indianapolis,09/15/2013,Clete Blakeman,3,13,0,0,3,13,4,2,2013
Dallas,Kansas City,09/15/2013,Jerome Boger,15,72,5,27,10,45,18,2,2013
San Diego,Philadelphia,09/15/2013,Terry McAulay,13,114,4,32,9,82,15,2,2013
Detroit,Arizona,09/15/2013,Pete Morelli,15,141,8,101,7,40,15,2,2013
New Orleans,Tampa Bay,09/15/2013,Bill Leavy,15,153,5,35,10,118,16,2,2013
Denver,N.Y. Giants,09/15/2013,Gene Steratore,17,148,13,132,4,16,18,2,2013
Jacksonville,Oakland,09/15/2013,Walt Anderson,15,100,10,70,5,30,18,2,2013
San Francisco,Seattle,09/15/2013,John Parry,22,205,12,121,10,84,23,2,2013
Pittsburgh,Cincinnati,09/16/2013,Mike Carey,12,113,3,29,9,84,13,2,2013
Kansas City,Philadelphia,09/19/2013,Walt Anderson,15,110,9,65,6,45,17,3,2013
Houston,Baltimore,09/22/2013,John Parry,24,200,14,113,10,87,26,3,2013
Green Bay,Cincinnati,09/22/2013,Clete Blakeman,9,98,4,55,5,43,12,3,2013
St. Louis,Dallas,09/22/2013,Carl Cheffers,11,113,5,41,6,72,16,3,2013
Atlanta,Miami,09/22/2013,Ron Winter,9,72,7,59,2,13,9,3,2013
Cleveland,Minnesota,09/22/2013,Bill Leavy,9,82,5,47,4,35,9,3,2013
Buffalo,N.Y. Jets,09/22/2013,Scott Green,27,255,7,87,20,168,31,3,2013
Tampa Bay,New England,09/22/2013,Jeff Triplette,10,98,4,48,6,50,13,3,2013
Arizona,New Orleans,09/22/2013,Walt Coleman,7,48,3,18,4,30,10,3,2013
San Diego,Tennessee,09/22/2013,Tony Corrente,16,161,5,45,11,116,19,3,2013
Detroit,Washington,09/22/2013,Ed Hochuli,14,116,8,71,6,45,16,3,2013
N.Y. Giants,Carolina,09/22/2013,Mike Carey,10,77,6,45,4,32,12,3,2013
Indianapolis,San Francisco,09/22/2013,Terry McAulay,7,58,1,10,6,48,7,3,2013
Jacksonville,Seattle,09/22/2013,Bill Vinovich,8,69,4,45,4,24,9,3,2013
Chicago,Pittsburgh,09/22/2013,Pete Morelli,9,84,3,25,6,59,10,3,2013
Oakland,Denver,09/23/2013,Jerome Boger,13,117,8,77,5,40,14,3,2013
San Francisco,St. Louis,09/26/2013,Jeff Triplette,18,167,10,85,8,82,21,4,2013
Baltimore,Buffalo,09/29/2013,Jerome Boger,19,158,8,59,11,99,21,4,2013
Cincinnati,Cleveland,09/29/2013,Ron Winter,8,105,3,25,5,80,11,4,2013
Chicago,Detroit,09/29/2013,Mike Carey,7,55,4,30,3,25,7,4,2013
Seattle,Houston,09/29/2013,Tony Corrente,15,148,9,62,6,86,17,4,2013
Indianapolis,Jacksonville,09/29/2013,John Parry,16,123,7,58,9,65,17,4,2013
N.Y. Giants,Kansas City,09/29/2013,Terry McAulay,14,127,7,65,7,62,14,4,2013
Pittsburgh,Minnesota,09/29/2013,Clete Blakeman,9,139,4,50,5,89,9,4,2013
Arizona,Tampa Bay,09/29/2013,Gene Steratore,18,163,10,90,8,73,19,4,2013
N.Y. Jets,Tennessee,09/29/2013,Walt Anderson,14,96,10,66,4,30,16,4,2013
Philadelphia,Denver,09/29/2013,Pete Morelli,10,87,8,62,2,25,11,4,2013
Washington,Oakland,09/29/2013,Bill Leavy,7,54,3,29,4,25,8,4,2013
Dallas,San Diego,09/29/2013,Ed Hochuli,12,118,5,33,7,85,15,4,2013
New England,Atlanta,09/29/2013,Walt Coleman,15,148,9,93,6,55,17,4,2013
Miami,New Orleans,09/30/2013,Bill Vinovich,11,70,5,25,6,45,11,4,2013
Buffalo,Cleveland,10/03/2013,Pete Morelli,13,122,7,56,6,66,14,5,2013
New Orleans,Chicago,10/06/2013,Scott Green,8,53,2,10,6,43,10,5,2013
New England,Cincinnati,10/06/2013,Gene Steratore,7,59,0,0,7,59,8,5,2013
Detroit,Green Bay,10/06/2013,Jerome Boger,17,122,7,50,10,72,20,5,2013
Seattle,Indianapolis,10/06/2013,Ron Winter,10,120,7,85,3,35,12,5,2013
Baltimore,Miami,10/06/2013,Carl Cheffers,10,129,6,64,4,65,12,5,2013
Philadelphia,N.Y. Giants,10/06/2013,Walt Coleman,20,224,8,88,12,136,23,5,2013
Jacksonville,St. Louis,10/06/2013,Tony Corrente,10,98,4,45,6,53,10,5,2013
Kansas City,Tennessee,10/06/2013,Bill Vinovich,15,96,9,61,6,35,15,5,2013
Carolina,Arizona,10/06/2013,John Parry,12,109,9,79,3,30,14,5,2013
Denver,Dallas,10/06/2013,Terry McAulay,14,136,5,55,9,81,17,5,2013
San Diego,Oakland,10/06/2013,Jeff Triplette,13,115,5,30,8,85,18,5,2013
Houston,San Francisco,10/06/2013,Mike Carey,10,69,7,52,3,17,11,5,2013
N.Y. Jets,Atlanta,10/07/2013,Bill Leavy,10,70,6,24,4,46,11,5,2013
N.Y. Giants,Chicago,10/10/2013,John Parry,9,82,4,31,5,51,11,6,2013
Green Bay,Baltimore,10/13/2013,Gene Steratore,14,95,8,55,6,40,15,6,2013
Cincinnati,Buffalo,10/13/2013,Ed Hochuli,12,105,8,78,4,27,13,6,2013
Detroit,Cleveland,10/13/2013,Walt Coleman,17,152,8,65,9,87,18,6,2013
St. Louis,Houston,10/13/2013,Bill Leavy,16,169,9,74,7,95,17,6,2013
Oakland,Kansas City,10/13/2013,Mike Carey,15,88,11,68,4,20,17,6,2013
Carolina,Minnesota,10/13/2013,Ron Winter,11,95,6,40,5,55,13,6,2013
Pittsburgh,N.Y. Jets,10/13/2013,Terry McAulay,12,109,7,49,5,60,13,6,2013
Philadelphia,Tampa Bay,10/13/2013,Clete Blakeman,11,103,3,31,8,72,12,6,2013
Jacksonville,Denver,10/13/2013,Jeff Triplette,11,93,7,62,4,31,11,6,2013
Tennessee,Seattle,10/13/2013,Carl Cheffers,13,109,7,44,6,65,13,6,2013
New Orleans,New England,10/13/2013,Tony Corrente,11,89,7,56,4,33,14,6,2013
Arizona,San Francisco,10/13/2013,Scott Green,10,73,6,38,4,35,14,6,2013
Washington,Dallas,10/13/2013,Walt Anderson,19,184,12,104,7,80,20,6,2013
Indianapolis,San Diego,10/14/2013,Pete Morelli,10,53,5,28,5,25,11,6,2013
Seattle,Arizona,10/17/2013,Terry McAulay,13,92,10,70,3,22,16,7,2013
Tampa Bay,Atlanta,10/20/2013,Walt Anderson,20,204,11,103,9,101,23,7,2013
St. Louis,Carolina,10/20/2013,Bill Vinovich,15,127,8,68,7,59,16,7,2013
Cincinnati,Detroit,10/20/2013,Scott Green,10,80,6,50,4,30,13,7,2013
Cleveland,Green Bay,10/20/2013,Jeff Triplette,22,203,12,106,10,97,22,7,2013
San Diego,Jacksonville,10/20/2013,Walt Coleman,14,106,8,61,6,45,15,7,2013
Houston,Kansas City,10/20/2013,Ed Hochuli,9,64,4,40,5,24,11,7,2013
Buffalo,Miami,10/20/2013,Gene Steratore,10,85,6,53,4,32,11,7,2013
New England,N.Y. Jets,10/20/2013,Jerome Boger,16,145,7,100,9,45,18,7,2013
Dallas,Philadelphia,10/20/2013,John Parry,17,108,12,75,5,33,20,7,2013
Chicago,Washington,10/20/2013,Clete Blakeman,10,77,5,30,5,47,10,7,2013
San Francisco,Tennessee,10/20/2013,Ron Winter,15,142,5,42,10,100,19,7,2013
Baltimore,Pittsburgh,10/20/2013,Bill Leavy,16,117,9,67,7,50,18,7,2013
Denver,Indianapolis,10/20/2013,Carl Cheffers,18,155,12,103,6,52,25,7,2013
Minnesota,N.Y. Giants,10/21/2013,Tony Corrente,8,110,3,38,5,72,10,7,2013
Carolina,Tampa Bay,10/24/2013,Jerome Boger,9,80,6,59,3,21,10,8,2013
Dallas,Detroit,10/27/2013,Bill Vinovich,10,92,2,31,8,61,11,8,2013
San Francisco,Jacksonville,10/27/2013,Ed Hochuli,10,111,4,35,6,76,10,8,2013
Cleveland,Kansas City,10/27/2013,Clete Blakeman,14,101,9,70,5,31,16,8,2013
Miami,New England,10/27/2013,Walt Anderson,12,96,7,61,5,35,12,8,2013
Buffalo,New Orleans,10/27/2013,Terry McAulay,14,104,6,45,8,59,14,8,2013
N.Y. Giants,Philadelphia,10/27/2013,Carl Cheffers,15,140,11,92,4,48,16,8,2013
Pittsburgh,Oakland,10/27/2013,John Parry,9,51,3,12,6,39,11,8,2013
N.Y. Jets,Cincinnati,10/27/2013,Pete Morelli,8,114,4,69,4,45,9,8,2013
Atlanta,Arizona,10/27/2013,Mike Carey,18,107,10,55,8,52,19,8,2013
Washington,Denver,10/27/2013,Ron Winter,7,62,1,5,6,57,10,8,2013
Green Bay,Minnesota,10/27/2013,Scott Green,13,166,6,120,7,46,13,8,2013
Seattle,St. Louis,10/28/2013,Gene Steratore,18,136,10,83,8,53,21,8,2013
Cincinnati,Miami,10/31/2013,Bill Leavy,5,88,3,63,2,25,6,9,2013
Kansas City,Buffalo,11/03/2013,Ron Winter,11,86,5,38,6,48,12,9,2013
Atlanta,Carolina,11/03/2013,Tony Corrente,9,74,7,59,2,15,9,9,2013
Minnesota,Dallas,11/03/2013,Jeff Triplette,9,80,4,35,5,45,11,9,2013
New Orleans,N.Y. Jets,11/03/2013,Clete Blakeman,17,121,9,59,8,62,18,9,2013
Tennessee,St. Louis,11/03/2013,Pete Morelli,9,74,3,30,6,44,9,9,2013
San Diego,Washington,11/03/2013,Jerome Boger,14,128,7,63,7,65,15,9,2013
Philadelphia,Oakland,11/03/2013,Ed Hochuli,15,122,7,52,8,70,19,9,2013
Tampa Bay,Seattle,11/03/2013,Mike Carey,14,166,8,99,6,67,16,9,2013
Baltimore,Cleveland,11/03/2013,Scott Green,15,135,9,80,6,55,15,9,2013
Pittsburgh,New England,11/03/2013,Walt Coleman,11,126,8,96,3,30,12,9,2013
Indianapolis,Houston,11/03/2013,Bill Vinovich,8,101,3,15,5,86,9,9,2013
Chicago,Green Bay,11/04/2013,Walt Anderson,4,45,4,45,0,0,5,9,2013
Washington,Minnesota,11/07/2013,Ed Hochuli,9,70,8,63,1,7,10,10,2013
Seattle,Atlanta,11/10/2013,Bill Vinovich,10,95,9,80,1,15,11,10,2013
Cincinnati,Baltimore,11/10/2013,Walt Coleman,17,199,9,134,8,65,18,10,2013
Detroit,Chicago,11/10/2013,Bill Leavy,10,90,5,51,5,39,10,10,2013
Philadelphia,Green Bay,11/10/2013,Mike Carey,10,96,5,65,5,31,12,10,2013
St. Louis,Indianapolis,11/10/2013,Terry McAulay,10,66,8,46,2,20,11,10,2013
Oakland,N.Y. Giants,11/10/2013,Pete Morelli,9,70,8,65,1,5,11,10,2013
Buffalo,Pittsburgh,11/10/2013,Scott Green,10,72,4,30,6,42,13,10,2013
Jacksonville,Tennessee,11/10/2013,John Parry,10,64,4,19,6,45,12,10,2013
Carolina,San Francisco,11/10/2013,Carl Cheffers,7,50,3,25,4,25,9,10,2013
Houston,Arizona,11/10/2013,Gene Steratore,12,82,7,53,5,29,12,10,2013
Denver,San Diego,11/10/2013,Tony Corrente,9,68,3,28,6,40,9,10,2013
Dallas,New Orleans,11/10/2013,Jerome Boger,17,126,11,82,6,44,18,10,2013
Miami,Tampa Bay,11/11/2013,Jeff Triplette,13,140,4,70,9,70,13,10,2013
Indianapolis,Tennessee,11/14/2013,Mike Carey,9,85,5,51,4,34,12,11,2013
N.Y. Jets,Buffalo,11/17/2013,Bill Leavy,12,88,4,24,8,64,12,11,2013
Baltimore,Chicago,11/17/2013,Gene Steratore,18,157,5,46,13,111,21,11,2013
Cleveland,Cincinnati,11/17/2013,Carl Cheffers,13,104,5,40,8,64,15,11,2013
Oakland,Houston,11/17/2013,Ron Winter,17,127,8,77,9,50,21,11,2013
Arizona,Jacksonville,11/17/2013,Jeff Triplette,11,82,5,42,6,40,12,11,2013
San Diego,Miami,11/17/2013,Pete Morelli,13,91,10,76,3,15,13,11,2013
Washington,Philadelphia,11/17/2013,Walt Coleman,13,107,4,39,9,68,15,11,2013
Detroit,Pittsburgh,11/17/2013,Walt Anderson,12,68,8,45,4,23,14,11,2013
Atlanta,Tampa Bay,11/17/2013,Ed Hochuli,18,166,7,45,11,121,19,11,2013
Kansas City,Denver,11/17/2013,John Parry,22,135,9,53,13,82,23,11,2013
San Francisco,New Orleans,11/17/2013,Tony Corrente,9,93,5,45,4,48,10,11,2013
Minnesota,Seattle,11/17/2013,Jerome Boger,11,116,4,20,7,96,11,11,2013
Green Bay,N.Y. Giants,11/17/2013,Terry McAulay,8,68,5,38,3,30,13,11,2013
New England,Carolina,11/18/2013,Clete Blakeman,12,97,5,50,7,47,12,11,2013
New Orleans,Atlanta,11/21/2013,Ron Winter,8,91,5,66,3,25,10,12,2013
N.Y. Jets,Baltimore,11/24/2013,Jeff Triplette,11,97,6,56,5,41,12,12,2013
Pittsburgh,Cleveland,11/24/2013,Terry McAulay,4,18,2,8,2,10,5,12,2013
Tampa Bay,Detroit,11/24/2013,Clete Blakeman,14,106,9,67,5,39,16,12,2013
Minnesota,Green Bay,11/24/2013,Bill Vinovich,12,103,5,53,7,50,15,12,2013
Jacksonville,Houston,11/24/2013,Mike Carey,9,85,7,63,2,22,10,12,2013
San Diego,Kansas City,11/24/2013,Walt Coleman,16,159,9,97,7,62,17,12,2013
Carolina,Miami,11/24/2013,Scott Green,14,111,8,56,6,55,15,12,2013
Chicago,St. Louis,11/24/2013,Jerome Boger,16,123,10,84,6,39,19,12,2013
Indianapolis,Arizona,11/24/2013,Bill Leavy,15,173,6,89,9,84,15,12,2013
Tennessee,Oakland,11/24/2013,Carl Cheffers,14,150,10,100,4,50,14,12,2013
Dallas,N.Y. Giants,11/24/2013,Walt Anderson,22,166,11,85,11,81,23,12,2013
Denver,New England,11/24/2013,Gene Steratore,14,121,9,85,5,36,14,12,2013
San Francisco,Washington,11/25/2013,John Parry,8,55,4,25,4,30,8,12,2013
Green Bay,Detroit,11/28/2013,Gene Steratore,8,75,3,25,5,50,10,13,2013
Oakland,Dallas,11/28/2013,Scott Green,16,111,10,71,6,40,16,13,2013
Pittsburgh,Baltimore,11/28/2013,Clete Blakeman,13,106,4,51,9,55,13,13,2013
Tampa Bay,Carolina,12/01/2013,Ron Winter,7,55,4,30,3,25,8,13,2013
Jacksonville,Cleveland,12/01/2013,Bill Leavy,14,85,5,35,9,50,14,13,2013
Tennessee,Indianapolis,12/01/2013,Walt Coleman,13,124,6,74,7,50,15,13,2013
Denver,Kansas City,12/01/2013,Terry McAulay,19,177,10,75,9,102,20,13,2013
Chicago,Minnesota,12/01/2013,Carl Cheffers,12,111,6,51,6,60,13,13,2013
Miami,N.Y. Jets,12/01/2013,Mike Carey,7,53,3,28,4,25,7,13,2013
Arizona,Philadelphia,12/01/2013,Tony Corrente,11,103,6,55,5,48,13,13,2013
Atlanta,Buffalo,12/01/2013,Walt Anderson,14,124,8,75,6,49,15,13,2013
St. Louis,San Francisco,12/01/2013,Bill Vinovich,20,190,11,105,9,85,20,13,2013
New England,Houston,12/01/2013,Pete Morelli,2,25,0,0,2,25,2,13,2013
Cincinnati,San Diego,12/01/2013,John Parry,8,75,3,30,5,45,9,13,2013
N.Y. Giants,Washington,12/01/2013,Jeff Triplette,9,56,1,1,8,55,11,13,2013
New Orleans,Seattle,12/02/2013,Ed Hochuli,15,118,7,52,8,66,16,13,2013
Houston,Jacksonville,12/05/2013,Tony Corrente,22,234,14,177,8,57,23,14,2013
Minnesota,Baltimore,12/08/2013,Pete Morelli,11,135,6,90,5,45,12,14,2013
Indianapolis,Cincinnati,12/08/2013,Jeff Triplette,13,107,6,47,7,60,13,14,2013
Cleveland,New England,12/08/2013,Jerome Boger,13,116,7,75,6,41,15,14,2013
Oakland,N.Y. Jets,12/08/2013,Gene Steratore,8,67,4,31,4,36,10,14,2013
Carolina,New Orleans,12/08/2013,Walt Anderson,10,80,5,35,5,45,13,14,2013
Detroit,Philadelphia,12/08/2013,Ed Hochuli,10,53,9,48,1,5,10,14,2013
